name,total_spent,year
Pharmaceutical Research & Manufacturers of America,"$22,600,000",2010
American Medical Assn,"$22,555,000",2010
AARP,"$22,050,000",2010
American Hospital Assn,"$21,352,358",2010
Blue Cross/Blue Shield,"$20,573,141",2010
ConocoPhillips,"$19,626,382",2010
United Technologies,"$18,310,000",2010
Boeing Co,"$18,254,000",2010
National Cable & Telecommunications Assn,"$17,710,000",2010
National Assn of Realtors,"$17,620,000",2010
Verizon Communications,"$16,850,000",2010
Northrop Grumman,"$15,740,000",2010
AT&T Inc,"$15,395,078",2010
National Assn of Broadcasters,"$13,710,000",2010
Pfizer Inc,"$13,380,000",2010
Southern Co,"$13,220,000",2010
US Chamber of Commerce,"$136,300,000",2012
National Assn of Realtors,"$41,504,580",2012
Blue Cross/Blue Shield,"$23,069,532",2012
American Hospital Assn,"$20,973,200",2012
Pharmaceutical Research & Manufacturers of America,"$19,260,000",2012
General Electric,"$18,970,000",2012
National Cable & Telecommunications Assn,"$18,890,000",2012
Google Inc,"$18,220,000",2012
Northrop Grumman,"$17,540,000",2012
AT&T Inc,"$17,460,000",2012
American Medical Assn,"$16,505,000",2012
Boeing Co,"$15,640,000",2012
Southern Co,"$15,580,000",2012
Lockheed Martin,"$15,347,350",2012
Verizon Communications,"$15,020,000",2012
Comcast Corp,"$14,680,000",2012
National Assn of Broadcasters,"$14,510,000",2012
Royal Dutch Shell,"$14,480,000",2012
United Technologies,"$14,454,750",2012
Business Roundtable,"$13,890,000",2012
US Chamber of Commerce,"$124,080,000",2014
National Assn of Realtors,"$55,097,053",2014
Blue Cross/Blue Shield,"$22,828,774",2014
American Hospital Assn,"$22,620,066",2014
American Medical Assn,"$19,650,000",2014
National Assn of Broadcasters,"$18,440,000",2014
National Cable & Telecommunications Assn,"$17,460,000",2014
Pharmaceutical Research & Manufacturers of America,"$17,225,000",2014
Google Inc,"$16,830,000",2014
Comcast Corp,"$16,800,000",2014
Boeing Co,"$16,800,000",2014
General Electric,"$16,630,000",2014
United Technologies,"$15,738,000",2014
Business Roundtable,"$14,840,000",2014
CVS Health,"$14,787,640",2014
Lockheed Martin,"$14,581,800",2014
Dow Chemical,"$14,430,000",2014
AT&T Inc,"$14,200,000",2014
Koch Industries,"$13,700,000",2014
FedEx Corp,"$13,414,536",2014
US Chamber of Commerce,"$103,950,000",2016
National Assn of Realtors,"$64,861,111",2016
Blue Cross/Blue Shield,"$25,206,109",2016
American Hospital Assn,"$22,683,895",2016
Pharmaceutical Research & Manufacturers of America,"$19,730,000",2016
American Medical Assn,"$19,410,000",2016
Boeing Co,"$17,020,000",2016
National Assn of Broadcasters,"$16,438,000",2016
AT&T Inc,"$16,370,000",2016
Business Roundtable,"$15,700,000",2016
Alphabet Inc,"$15,430,000",2016
Comcast Corp,"$14,330,000",2016
Southern Co,"$13,900,000",2016
Lockheed Martin,"$13,895,811",2016
Dow Chemical,"$13,685,982",2016
NCTA The Internet & Television Assn,"$13,420,000",2016
FedEx Corp,"$12,541,000",2016
Northrop Grumman,"$12,050,000",2016
Exxon Mobil,"$11,840,000",2016
Amazon.com,"$11,020,000",2016
US Chamber of Commerce,"$94,800,000",2018
National Assn of Realtors,"$72,808,648",2018
Open Society Policy Center,"$31,520,000",2018
Pharmaceutical Research & Manufacturers of America,"$27,989,250",2018
American Hospital Assn,"$24,585,842",2018
Blue Cross/Blue Shield,"$23,884,221",2018
Business Roundtable,"$23,160,000",2018
Alphabet Inc,"$21,850,000",2018
American Medical Assn,"$20,427,000",2018
AT&T Inc,"$18,529,000",2018
Boeing Co,"$15,185,000",2018
Comcast Corp,"$15,072,000",2018
Northrop Grumman,"$14,390,000",2018
Amazon.com,"$14,190,000",2018
National Assn of Broadcasters,"$14,170,000",2018
NCTA The Internet & Television Assn,"$13,240,000",2018
Lockheed Martin,"$13,205,502",2018
Facebook Inc,"$12,620,000",2018
Southern Co,"$12,300,000",2018
General Dynamics,"$12,145,054",2018
National Assn of Realtors,"$84,113,368",2020
US Chamber of Commerce,"$81,910,000",2020
Pharmaceutical Research & Manufacturers of America,"$25,946,000",2020
American Hospital Assn,"$24,426,466",2020
Blue Cross/Blue Shield,"$23,622,720",2020
Facebook Inc,"$19,680,000",2020
American Medical Assn,"$19,275,000",2020
Amazon.com,"$17,860,000",2020
Business Roundtable,"$16,970,000",2020
NCTA The Internet & Television Assn,"$15,460,000",2020
Comcast Corp,"$14,430,000",2020
American Chemistry Council,"$14,000,000",2020
Lockheed Martin,"$12,980,810",2020
Boeing Co,"$12,630,000",2020
Biotechnology Innovation Organization,"$12,560,000",2020
CTIA,"$12,448,477",2020
Northrop Grumman,"$12,050,000",2020
American Bankers Assn,"$11,840,000",2020
Raytheon Technologies,"$11,580,000",2020
Unilever,"$11,460,000",2020
US Chamber of Commerce,"$35,280,000",2022
National Assn of Realtors,"$27,078,651",2022
Pharmaceutical Research & Manufacturers of America,"$14,848,000",2022
Blue Cross/Blue Shield,"$13,793,220",2022
American Hospital Assn,"$12,449,211",2022
American Medical Assn,"$11,360,000",2022
Meta,"$10,780,000",2022
Amazon.com,"$10,660,000",2022
Business Roundtable,"$9,180,000",2022
American Chemistry Council,"$8,880,000",2022
America's Health Insurance Plans,"$7,570,000",2022
Comcast Corp,"$7,360,000",2022
AARP,"$6,930,000",2022
General Motors,"$6,900,000",2022
Northrop Grumman,"$6,780,000",2022
Lockheed Martin,"$6,756,018",2022
Alphabet Inc,"$6,720,000",2022
CTIA,"$6,430,000",2022
NCTA The Internet & Television Assn,"$6,340,000",2022
Biotechnology Innovation Organization,"$6,290,000",2022
